Original_Article,Human_Summary,LongT5_Summary
"Chief Minister Pema Khandu while attending the final day of the Arunachal Literature Festival (ALF) proposed establishing a ‘writers’ village’, “somewhere suitable in Arunachal Pradesh,” in order to provide the perfect ambience to writers, artistes, researchers and creative minds. This is a very encouraging announcement. The establishment of a writer’s village can revolutionise the literary field in the state. Even though they are full of talent, the writers of the state are still finding their feet. Under the guidance of the Arunachal Pradesh Literary Society (APLS), attempts are being made to give space and to extend support to the budding writers of the state. The ALF is also part of this initiative. This year more than 50 renowned and budding authors and poets from across the country, including from Arunachal, attended the festival. Some of the big names this year were Anand Neelakanthan, Kavita Kane, Preethi Shenoy, Asgar Wajahat, Mahesh Dattani, Janice Pariat, and Anuja Chandramouli. With each passing year, the ALF is becoming very popular among the masses. People turn up in huge numbers to attend this festival. However, like any other festival, the ALF can also be improved upon.","The proposal for a writers’ village in Arunachal Pradesh by Chief Minister Pema Khandu at the Arunachal Literature Festival is a significant step. Supported by the Arunachal Pradesh Literary Society, this initiative can bolster the state's literary landscape. The ALF's success and renowned attendees showcase its growing importance and potential for further enhancement.",Chief Minister Pema Khandu while attending the final day of the Arunachal Literature
"ITANAGAR, May 31: Call it lack of coordination or deliberate ignorance, the departments of power (electrical) and public health engineering & water supply (PHE&WS) in Lohit district are reported to have openly defied the deputy commissioner’s order by providing water and electricity connectivity to a controversial area in Tezu township – the erstwhile Tezu station reserve forest. On 16 October last year, Lohit Deputy Commissioner Karma Leki had issued a notice directing the executive engineers of the Tezu PHE&WS department and the Tezu/Namsai power (electrical) department to ensure that the residents of the area had proper land allotment and NOCs from the district administration prior to providing water supply and electricity connection in those areas. The DC had issued the notice sensing rampant encroachment on government land in the Tezu township extension area. There are claims from various quarters of the district that the departments’ blatant defiance of the administration’s order was a deliberate attempt to validate encroached land in the area. Open encroachment has already stalled the setting up of the proposed AYUSH medical college there. When contacted, Power (Electrical) EE NK Jha said electrification in the area was done prior to the DA’s notice, and that electricity connection had been provided there “purely on the basis of the 2011 socio economic census.” However, the PHE&WS EE, who agreed to comment on condition of not being named, claimed that there is not a single point of water supply connection to the area. “So far, 27 points of water supply connection have been provided to individual households since October 2017, but no single point to that controversial area,” he said. On the other hand, sources in Tezu claim that several points of water supply have been provided to the settlers. They acknowledged, however, that water supply connections might have been provided there surreptitiously, keeping the executive engineer in the dark. The sources went on to claim that during the 2011 socio economic census, the settlers in the area – mostly non-APSTs – misled the enumerators by addressing the township extension area as Shivaji Nagar, whereas the original Shivaji Nagar is in 43 Mile area. The Arunachal Times has learnt that a government primary school – designated as Shivaji Nagar Primary School – was also established in the heart of the reserve forest area in 2014. The DC recently constituted a flying squad, comprising magistrates and police personnel, to deal with land grabbers in the area, but it reportedly did not yield any fruitful result.","The departments of power (electrical) and public health engineering & water supply (PHE&WS) in Lohit district, Arunachal Pradesh, are accused of defying a deputy commissioner's order by providing water and electricity to a controversial area, the former Tezu station reserve forest. Despite a notice from the deputy commissioner last October, directing proper land allotment and NOCs before services were provided, the departments are alleged to have ignored the directive, possibly contributing to land encroachment issues. The controversy surrounds the extension area of Tezu township, affecting proposed projects like the AYUSH medical college.",The departments of power (electrical) and public health engineering & water supply (PHE&
"New Delhi, Apr 9 (PTI) Users of Airtel, Vodafone and Idea mobile services filed maximum billing complaints in October-December of 2016, as per the latest report of Trai. The complaints in the case of Bharti Airtel mostly came from 2G pre-paid subscribers in Tamil Nadu (including Chennai), Kolkata, Haryana and Jammu and Kashmir, where the benchmark violation ranged between 0.11 per cent and 0.12 per cent. According to quality of service norms, the complaint level should not be more than 0.1 per cent per 100 bills issued in one quarter. The maximum violations are found in the case of Vodafone, where 0.15 per cent and 0.13 per cent of bills were disputed by its users in Andhra Pradesh and Karnataka, respectively. Vodafone is the only company during the reported quarter whose post-paid customers in the Mumbai circle also raised a number of quality issues. Complaints against Idea in the north-east telecom circle pertained to 0.13 per cent of disputed bills. As for other quality parameters, Trai found performance of Aircel below par for call drops in most telecom circles. Trai has set a penalty of up to Rs 2 lakh for poor mobile service, including call drops. The penalty kicks in for more than 2 per cent call drops in a quarter in one telecom circle. According to the report, Aircels 2G network crossed this limit in four circles. The call drop rate on the Aircel network was as high as 27.73 in the north-east circle. Airtel, Sistema Shyam and Reliance Communications (GSM) service also overshot the call drop level in one circle each. During the peak hour, the rate is relaxed up to 3 per cent. Even in this category, the figure remained above this level for Aircel 2G in 11 out of the 22 telecom circles.","Users of telecom majors Airtel, Vodafone, and Idea filed the maximum billing complaints in the December quarter, according to TRAI. In terms of quality parameters, TRAI found the performance of Aircel below par for call drops in most telecom circles. The telecom regulator has set a penalty of up to ?2 lakh for poor mobile service, including call drops.",The complaints in the case of Bharti Airtel mostly came from 2G pre-paid subscribers
"Just like real doctors and nurses, online health tools with good but controlled communication skills can promote healthier lifestyles, a team of Indian-origin researchers has said. However, if their tone is conversational, these tools may lull users into a false sense of comfort, they added. People who experienced a back-and-forth interaction with an online health risk assessment website were more likely to follow the health behaviours suggested by the tool. “This shows that delivering information on health risks through dialogue can help users get engaged with the tool and may positively affect their health. In general, it speaks to the design of interactive delivery of health information that it is not only engaging, but also inspiring,” said S Shyam Sundar, Distinguished Professor of Communications from Pennsylvania State University. The findings showed that when the online tools used short phrases such as “Mm-hmm” and “Go on” to promote casual and friendly tone, users felt less susceptible to their health risks. “The conversational tone may make the users warm and fuzzy. However, if the goal of the interaction is to promote a sense of comfort among individuals, the same conversational tone strategy could work well with the online tool acting like a virtual coach and providing reassurance,” explained Saraswathi Bellur, assistant professor of communication from University of Connecticut.","Online health tools can encourage healthier behavior when they communicate using a dialogue-based format, according to researchers of Indian origin. A study led by S. Shyam Sundar and Saraswathi Bellur found that interactive conversations—rather than static information—engaged users better and promoted action. However, overly casual tones, such as saying “Mm-hmm” or “Go on,” can reduce users’ perception of health risk, making them feel too comfortable and less likely to take issues seriously.",Indian-origin researchers have found that online health tools with good but controlled communication skills can promote
"The Rajiv Gandhi University Employees’ Association (RGUEA) organised a ‘special awareness programme and registration drive’ for the casual workers and labourers under the Arunachal Pradesh Building & Other Construction Workers’ Welfare Board (APB&OCWWB) employed at RGU. Staffers of the APB&OCWWB were invited to create awareness on various schemes and incentives available to the registered labourers of the state. Papum Pare district APB&OCWWB Registering Officer Koj Kano spoke on the benefits availed by the workers registered under the labour welfare board. RGU Vice Chancellor Prof Saket Kushwaha informed that a proposal for construction of a labourers’ barrack is being pursued at the appropriate level. He also assured to take up innovative welfare measures for the workers. RGUEA president Sollung Sonam said a slew of measures is being taken up by the university’s administration, and that a representation for having a labour welfare cell at the university is also being pursued. He informed that a labour welfare fund has been created and employees of the university are contributing towards this corpus fund. RGUEA vice president Gomar Basar informed that the programme was a follow-up activity to the 28th foundation day programme which had been organised on 12 December last year. Over 200 workers were registered during the drive.","The Rajiv Gandhi University Employees’ Association (RGUEA) organized a special awareness program and registration drive for casual workers and laborers employed at RGU under the Arunachal Pradesh Building & Other Construction Workers’ Welfare Board (APB&OCWWB). Staff from APB&OCWWB highlighted various schemes and incentives available to registered laborers. Papum Pare district's Registering Officer, Koj Kano, discussed the benefits accessible through the board. RGU Vice Chancellor Prof Saket Kushwaha mentioned plans for constructing a laborers’ barrack and implementing welfare initiatives. RGUEA president Sollung Sonam emphasized ongoing efforts by the university administration, including the proposal for a labor welfare cell. RGUEA vice president Gomar Basar noted that the initiative followed the university’s foundation day program and mentioned the creation of a labor welfare fund supported by university employees. The drive resulted in the registration of over 200 workers.",The Rajiv Gandhi University Employees’ Association (RGUEA) organised a ‘special
"Hyderabad: The BJP on Sunday said that the Congress’s six guarantees are nothing more than proverbial pies in the sky. The promises are laughable. ""Congress did not say anything on how it will fund its six guarantees that require enormous funds. Before making such tall claims, the Congress should first tell the people how it will fund the programmes it promised, especially since the BRS party has bankrupted Telangana,"" BJP’s chief spokesperson for the state N.V. Subhash said. In a statement, Subhash said the Congress making impossible to keep promises in a desperate bid to fool people. ""And the script for today’s speeches was given to the Congress from Pragati Bhavan,"" he said. ""The Congress and BRS are one team supported by the AIMIM and ultimately, it will be the BJP that will receive the support of the people and form the next government in Telangana,"" he said.","Vice President: Article 2 also addresses the office of the Vice President, including the method for electing the Vice President and the Vice President's role as the President of the Senate.",The BJP on Sunday said that the Congress’s six guarantees are nothing more than proverbi
"According to World Health Organization and the World Bank report around 20 per cent of the world's poorest people have disabilities and nearly 80 per cent of people with a disability live in low-income countries. However, their needs have been largely ignored by development planners. The report warned that the millennium development goals (MDGs) would not be met unless the needs of disabled people were fully addressed. An estimated 10 per cent of Bangladesh's population has a disability. People with disability in Bangladesh still fight discrimination at home, society and workplace with little support from the government. Back home, in India too, the people with disabilities are subject to deprivation in many dimensions of their lives. India has one of the more progressive disability policy frameworks in the developing world. However, there remain huge challenges in operationalizing the policy framework, experts feel. Social attitudes and stigma play an important role in limiting the opportunities of disabled people for full participation in social and economic life, often even within their own families. Increasing the status and social and economic participation of people with disabilities would have positive effects on everyone, not just disabled people. While there is a long way to go, focusing on getting the basics right on disability policy would allow for significant progress in the foreseeable future.","Around 20% of the world's poorest individuals have disabilities, and 80% of people with disabilities live in low-income countries, as reported by the World Health Organization and the World Bank. Unfortunately, development planners have often overlooked their needs. In countries like Bangladesh and India, people with disabilities face discrimination and lack essential support. Addressing these issues is crucial to meeting development goals, and it would benefit society as a whole by increasing social and economic participation and breaking down stigma. Experts emphasize the importance of focusing on basic disability policy improvements for future progress.",The World Health Organization and the World Bank report around 20 per cent of the world's poorest
"Keonjhar/ Hatadihi: The Orissa High Court has directed the state-level committee to investigate and take appropriate action concerning allegations of misuse, irregularities, and corruption in the District Mineral Foundation (DMF) Trust funds in Keonjhar district. A bench led by Chief Justice Chakradhari Sharan Singh and Justice Savitri Rath issued the directions on the basis of Section 15(4) and 9B of the Mines and Minerals (Development and Regulation) Act, 1957, and Rule 18(B) of the Odisha DMF Rules, 2015. The Chief Secretary of the state serves as the chairperson of the state-level committee. The court emphasised that allegations raised in the writ petition, backed by documents on record, necessitate a detailed inquiry by the committee. It also directed the state’s government counsel to furnish relevant documents and counters for the committee’s examination. The court further noted that the allegations should first be reviewed by the state-level committee, which will submit its findings and determine the nature of actions to be taken. The high court clarified that it would decide on the necessity of further intervention after reviewing the investigation’s outcome. Key allegations include executing projects without proper tenders, releasing funds disproportionately, failing to provide utilisation certificates, and disbursing advance payments to contractors, such as E&W LLP.’ Other accusations involve executing projects without Trust Board approval, overspending on project estimates, discrepancies in DMF bank account funds, unauthorised appointments, and irregularities in contingency grants. Initial complaints regarding these issues were submitted to the Chief Minister, Chief Secretary, Planning and Coordination Department, and Keonjhar Collector. Following inaction, a case (W.P.(C) No. 26601/2024) was filed in the High Court October 22, 2024. Subsequently, the DMF Chairperson and Keonjhar Collector were served notices, with a response filed November 27, 2024. The high court has scheduled the next hearing for March 6.","The Orissa High Court has directed the state-level committee to investigate allegations of corruption and misuse of District Mineral Foundation (DMF) Trust funds in Keonjhar district. The committee is tasked with reviewing issues such as unapproved projects, improper fund releases, and discrepancies in project execution. The court's intervention follows complaints raised in a writ petition, supported by documents, after local authorities failed to take action. The court is awaiting the committee's findings before determining any further intervention, with the next hearing set for March 6, 2025.",The Orissa High Court has directed the state-level committee to investigate and take appropriate action concerning allegations
"A nail-biting game of cricket is anybody cup of tea. But what of those who are confined to sick beds in government hospitals? What of those who tend to them? As for the latter category, they are pretty much up and about. And, once in a while, they can switch their attention from the BP machine to sneak into the canteen where a TV beaming the Pindi action live is in place. and discreet inquiries at the city four government hospitals corroborated the story. Ya, once in a while we get to grab some time to watch the action said B Chander, a doctor with Osmania General Hospital. ""Wish I could sit back at home and take in all the action, was his lament. In the general wards, where patients aren't all that critical, relatives of patients occasionally leave a transistor behind, which invariably gets turned on when the actions on the field. In corporate hospitals, the scenes slightly different. All deluxe rooms have TVs, the general wards and lobbies too have TV sets, which are usually turned on when the match is being played out. On Tuesday night, when the city took on a curfew look, many rooms in these private hospitals were live” inmates taking in the action ball by ball.","Cricket fans in government hospitals and those who care for them are often able to watch the Pindi cricket match live in the canteen. Doctors at four government hospitals reported that they occasionally get to watch the action. In corporate hospitals, all deluxe rooms have TVs, and general wards and lobbies also have TV sets. On Tuesday night, many rooms in these private hospitals were live, allowing inmates to watch the match.",The city's government hospitals are reportedly putting on live action in the Pindi cricket match
"Global land-use changes including forest fragmentation, agricultural expansion and concentrated livestock production are creating 'hot spots' favourable for bats that carry coronaviruses and where conditions are ripe for the diseases to jump from bats to humans, finds a new study. The findings were published by researchers at the University of California, Berkeley, the Politecnico di Milano (Polytechnic University of Milan) and the Massey University of New Zealand. Amazon Sale season is here! Splurge and save now! Click here While the exact origins of the SARS-CoV-2 virus remain unclear, scientists believe that the disease likely emerged when a virus that infects horseshoe bats was able to jump to humans, either directly through wildlife-to-human contact, or indirectly by first infecting an intermediate animal host, such as the pangolin, sometimes known as the scaly anteater. Horseshoe bats are known to carry a variety of coronaviruses, including strains that are genetically similar to ones that cause Covid-19 and severe acute respiratory syndrome (SARS). The new study used remote sensing to analyze land-use patterns throughout the horseshoe bat's range, which extends from Western Europe through Southeast Asia. By identifying areas of forest fragmentation, human settlement and agricultural and livestock production, and comparing these to known horseshoe bat habitats, they identified potential hot spots where habitat is favourable for these bat species, and where these so-called zoonotic viruses could potentially jump from bats to humans. The analysis also identified locations that could become easily become hot spots with changes in land use. ""Land use changes can have an important impact on human health, both because we are modifying the environment, but also because they can increase our exposure to zoonotic disease,"" said study co-author Paolo D'Odorico, a professor of environmental science, policy and management at UC Berkeley. ""Every formal land-use change should be evaluated not only for the environmental and social impacts on resources such as carbon stocks, microclimate and water availability but also for the potential chain reactions that could impact human health,"" Paolo added. Most of the current hot spots are clustered in China, where a growing demand for meat products has driven the expansion of large-scale, industrial livestock farming. Concentrated livestock production is particularly concerning because the practice brings together large populations of genetically similar, often immune-suppressed animals that are highly vulnerable to disease outbreaks, the researchers said. The analysis also found that parts of Japan, the north Philippines and China south of Shanghai are at risk of becoming hot spots with further forest fragmentation, while parts of Indochina and Thailand may transition into hot spots with increases in livestock production. ""The analyses aimed to identify the possible emergence of new hot spots in response to an increase in one of three land-use attributes, highlighting both the areas that could become suitable for spillover and the type of land-use change that could induce hot spot activation,"" said study co-author Maria Cristina Rulli, a professor in hydrology and water and food security at the Politecnico di Milano in Italy. Maria added, ""We hope these results could be useful for identifying region-specific targeted interventions needed to increase resilience to coronavirus spillovers."" Human encroachment into natural habitat can also indirectly increase exposure to zoonotic disease by reducing valuable biodiversity. When forest lands become fragmented and natural habitats are destroyed, species that require very specific habitat to survive, called ""specialists,"" may dwindle or even go extinct. Without competition from specialists, ""generalist"" species, which are less picky about their habitat, can take over. Horseshoe bats are a generalist species and have often been observed in areas characterized by human disturbance. Earlier work by Rulli, D'Odorico and study co-author David Hayman has also linked forest fragmentation and habitat destruction in Africa to outbreaks of the Ebola virus. ""By creating conditions that are disadvantageous to specialist species, generalist species are able to thrive,"" D'Odorico said. ""While we are unable to directly trace the transmission of SARS-CoV-2 from wildlife to humans, we do know that the type of land-use change that brings humans into the picture is typically associated with the presence of these bats who are known to carry the virus."" While China has been a leader in tree planting and other greening efforts over the past two decades, many of the trees have been planted in discontinuous land areas or forest fragments. To tilt the ecological balance back in favour of specialist species, creating continuous areas of forest cover and wildlife corridors are more important than increasing total tree cover. ""Human health is intertwined with environmental health and also animal health,"" D'Odorico said. D'Odorico added, ""Our study is one of the first to connect the dots and really drill down into the geographic data on land use to see how humans are coming into contact with species that might be carriers.""","Global land-use changes, including forest fragmentation, agricultural expansion, and concentrated livestock production, are creating ""hot spots"" favorable for bats that carry coronaviruses, where conditions are ripe for diseases to jump from bats to humans, according to a study by researchers at the University of California, Berkeley, the Politecnico di Milano, and the Massey University of New Zealand. The study used remote sensing to analyze land-use patterns throughout the horseshoe bat's range, identifying potential hot spots where habitat is favorable for these bat species and where zoonotic viruses could potentially jump from bats to humans.","Global land-use changes including forest fragmentation, agricultural expansion and concentrated livestock production are creating '"
"Unemployed All Arunachal Engineers’ Association (UAAEA) on Tuesday submitted a memorandum to the Chief Minister to repeal the cabinet decision taken on March 7, 2016 to wind up 11 Engineering Wings in non Engineering Departments. In its memorandum, UAAEA stated that closure of these engineering wings will render 200 contractual Junior Engineers employed under SSA and Panchayat Raj and more than 400 non-technical staff employed in engineering departments jobless. Further, it will also bring many multi-crore on-going central as well as state government projects to a grinding halt, besides causing time and cost overrun, the memorandum said. Justifying its demand for having separate engineering wings in non-work department as per RMSA, SSA and RUSA guidelines for implementation of civil works of national flagships programme, the association said that there are many central government departments, who have their own engineering wing. It cited the example of NIT, NERIST and RGU in the state, who have their own engineering wings. It also said that states like Tripura, Sikkim, Kerala, Karnataka etc. have their independent engineering wing/cell in the department of Education and Panchayat Raj with the posts of chief engineer and Superintending Engineer.","The Unemployed All Arunachal Engineers’ Association (UAAEA) urged the Chief Minister to reverse the decision made on March 7, 2016, to shut down 11 Engineering Wings in non-Engineering Departments. They argued that this move would leave 200 contractual Junior Engineers and over 400 non-technical staff without jobs, halt ongoing projects, and lead to time and cost overruns. They cited guidelines from RMSA, SSA, and RUSA for having separate engineering wings and pointed out examples of other states and institutions with their own engineering wings. The association demanded the retention of these wings for effective implementation of civil works programs.",The Unemployed All Arunachal Engineers’ Association (UAAEA) submitted a
"LUCKNOW: In an interaction with MLAs and MPs from Chitrakoot division to review the status of ongoing projects on Thursday, chief minister Yogi Adityanath directed them to reach out to entrepreneurs and business houses within their areas and encourage people to invest in the state and participate in the upcoming Global Investors' Summit-2023. Stating that there were immense possibilities for development in Banda, Mahoba, Hamirpur and Chitrakoot districts, the CM added that religious tourism was being encouraged there. ""Every district is full of opportunities for industrial development. There is sufficient land available. District-wise roadshows must be held in Chitrakoot division as well,"" the CM said. The CM said that the state government is in the process of setting up fire stations at all tehsil headquarters in a phased manner. Under this programme, there will be fire stations in every tehsil of Chitrakoot. To ensure smooth functioning of these fire stations, trained personnel would also be stationed there. Praising the mining related work taking place in the area, the chief minister further said that the planned efforts over the past five years have resulted in a lot of improvement in the sector.","Chief Minister Yogi Adityanath urged MLAs and MPs from Chitrakoot division to promote investment in Uttar Pradesh and participate in the upcoming Global Investors' Summit-2023. He highlighted the development potential in Banda, Mahoba, Hamirpur, and Chitrakoot districts, emphasizing religious tourism and industrial opportunities. The government plans to establish fire stations at all tehsil headquarters in the region and praised mining-related progress.",In an interaction with MLAs and MPs from Chitrakoot division to review
"Self-employed Nabajyoti Barua has been trying to eliminate swear words from his vocabulary lest his four-year-old son picks them up. He has also cut down on his ‘adda’ (chatting sessions with friends) to devote more time to his son’s studies at home in Sivasagar district’s Jhanji Baruagaon village. Home-maker Purabi Dutta of Kaliapani village in the adjoining Jorhat district has been focussing on managing her anger and exuding positivity to keep her daughter, a little more than three years old, cheerful at home. Their effort is to ensure that their wards studying at the Jyoti Protap Gyanmarg Bidyalay earn 20 non-academic marks in each subject to score at least 60% in the annual exams to be promoted to a higher class. The school covering more than two acres is on National Highway 127 at Kaliapani, a village about 330 kms east of Guwahati and on the eastern edge of the Jorhat district. Mr. Barua and Ms. Dutta know that their wards – admitted to the nursery class in April – have to meet the school’s condition of scoring at least 60% marks to be retained when they get promoted to class one. “Habits take time to change. So, we have started now to be ready when the time comes,” Ms. Dutta said. Biju Kumar Sarmah, the coordinator of the school, defended the condition set by the Jyoti Protap Education Trust for spending ₹30-lakh annually on free education, books, uniforms, meals, vocational training, and life skills apart from providing access to digital learning, robotics, and most other facilities offered by high-end urban schools at a premium. The trust is named after local businessman Protap Saikia and his deceased wife Jyoti Saikia. It is funded by a large chunk of the earnings from Mr. Saikia’s businesses and investments in insurance policies. “We understand each student is different and they could be under pressure to attain the minimum marks but we prepare them in an environment of fun to be able to confidently absorb it without realising it. The condition is more for parents to imbibe human values in their children and ensure they play, study, and be self-sufficient,” he told The Hindu. Only five of the State Board-affiliated school’s 210 students were found to be lagging but they were eventually promoted after extra classes and some grace marks. Super 30 model “Rural children are generally more resilient than their urban counterparts but they lack access to opportunities and confidence to face a highly competitive world beyond their comfort zone. Unfortunately, we are in a rat race, and we want our children to withstand the challenges later in life by setting a goal now – 60% in their case,” Mr. Saikia, the trust’s secretary, said. He insisted that the goal is attainable without much sweat as 10% is based on extracurricular activities and discipline of a child and 10% on good parenting. “Ultimately, the parents are responsible for this 20% added to each subject of 100 marks with the students required to answer questions for 80 marks,” he said. Mr. Saikia and his associates studied the best educational practices around the globe before establishing Jyoti Protap Gyanmarg Bidyalay in 2021. If schools in Japan gave the idea of letting children keep their classes clean, tend to potted plants – each child has one in his or her name in the school – and learn skills such as producing vermicompost, the Super 30 model decided the maximum number of students to be admitted per class. “Although the norm is 40 students per teacher, we have capped the number of students at 30 per class. Our standard would be followed when we gradually upgrade to class 12 from class five now,” Mr. Saikia said. “The school caters to children from various backgrounds living within a radius of 30 kms. I want them to excel academically because I could not as circumstances forced me to earn a living at 11 years,” he said. The Super 30 model is envisaged to extend to students who can return as successful adults to continue running the school charitably for “children of the future after I am gone”, Mr. Saikia said. Wait and earn The school has a fairly comfortable waiting zone for parents who come from afar to drop off their children and wait to take them back home after classes. The zone is equipped with a monitor where they can see how their children are taught and what they do in class. “We have noticed most parents spend four to five hours sitting, chatting, or pacing around. We have decided to equip the waiting zone with a loom, tools for various kinds of work, and a mini food processing unit so they can be productive according to their abilities,” Mr. Saikia said. “But producing cloth, pickles, jellies, or any handicraft item is meaningless without market linkage. We are also lining up buyers so the parents can earn as they wait,” he said.","Nabajyoti Barua and Purabi Dutta, parents from Assam, are making concerted efforts to improve their behaviors and focus on their children's education at Jyoti Protap Gyanmarg Bidyalay. The school, supported by the Jyoti Protap Education Trust, emphasizes holistic development and parental involvement to ensure students achieve at least 60% in their exams. The trust, funded by local businessman Protap Saikia, aims to provide quality education and vocational training to rural children, following models like Japan's clean classroom practices and India's Super 30 for effective learning outcomes.",Self-employed Nabajyoti Barua has been trying to eliminate swear words
"New Delhi, February 28 Finance Minister Pranab Mukherjee started his Budget 2011-12 speech by saying, “At times the biggest reforms are not the ones that make headlines but the ones concerned with the details of governance, which affect the everyday life of aam aadmi”. The Union Budget presented today was not headline grabbing nor full of breathtaking reforms. It did not disturb too many things, did not have too many negatives, so was comforting in a way. And since there had been so many challenges surrounding the economy and the Budget, more than anything else there was a sense of relief that nothing too painful had come. The Budget’s focus was inclusive growth, fiscal consolidation, fighting inflation with reforms in agriculture, social sector, infrastructure and sending the message that the reforms are still on. The Finance Minister is clearly betting on the 9 per cent growth projected for next year and the resulting tax buoyancy as he announced higher spending outlays without raising too many taxes and also projected a much lower fiscal deficit next year at 4.6 per cent. The total tax revenue in 2011-12 would be up 18.50 per cent at Rs 9.32 lakh crore. The income tax exemption limit for individuals has been raised from Rs 1.6 lakh to Rs 1.8 lakh, giving a relief of Rs 2000 to every taxpayer. Benefits for senior citizens will now be eligible at 60. The service tax net was widened to cover more services that will raise the cost of air travel, health check-ups, hotel accommodation and eating out. Excise duties were not raised at the 10 per cent range but 130 consumer items were brought into the tax net with a nominal one per cent central excise duty. However, in what would make several items expensive, the lower rate of excise duty was raised from 4 per cent to 5 per cent. Branded garments are now costlier but diapers are cheaper. The FM also announced the proposal to implement the Direct Taxes Code (DTC) by April next year. It will replace the existing direct tax structure. Goods and Services Tax (GST) amendment bill will also be introduced in the budget session of Parliament. This was a major reason why the direct taxes and excise duties were not tinkered too much as the rates have to move towards a road map. The big bold move was in the form of phased move towards direct transfer of cash subsidy to BPL families for kerosene, LPG and fertilisers. Since the FM had invoked Lord Indra last year to seek rains, this year he said diversifying risk is a good strategy and invoked Goddess Lakshmi also to shower wealth. Hedging was the theme of the day. The Budget announced several measures to strengthen agriculture. Credit flow to farmers was raised from Rs 3.75 lakh crore to Rs 4.75 lakh crore. Reduction in interest rate to 4 per cent was also announced for farmers, who repay loans on time. Faced with high food inflation, various schemes were announced with an outlay of Rs 2,200 crore to increase production of vegetables, millets, milk, pulses, palm oil and fodder. With its continuing focus on social sector, spending was increased by 17 per cent to Rs 1.60 lakh crore, which accounts for more than 36 per cent of total plan allocation. Allocation for the UPA flagship programme, Bharat Nirman, was hiked by Rs 10,000 crore to Rs 58,000 crore. The allocation on education was increased by 24 per cent to Rs 52,057 crore. In a relief to salaried class, the government has come out with a new scheme in which they will not have to file IT returns once TDS has been done by the employer and they do not have any other income. Taking the reforms process forward, the Budget also announced a disinvestment revenue target from PSUs of Rs 40,000 crore. For India Inc, the surcharge on corporate tax on domestic companies was cut from 7.5% to 5%. However, the Minimum Alternate Tax was hiked to 18.5% from 18%. However, in a dampener, MAT was levied on SEZs. In a boost for low cost housing, the FM announced that the 1 per cent interest rebate will now apply to be available for loans upto Rs 15 lakh where the cost of the house does not exceed Rs 25 lakh. The total plan expenditure has been increased by 18.3 per cent to Rs 4.41 lakh crore and non-plan expenditure by 10.9 per cent to Rs 8.16 lakh crore. For infrastructure, the tax benefit for investment in long term infrastructure bonds will continue for another year.","Finance Minister Pranab Mukherjee's Budget 2011-12 prioritized inclusive growth and fiscal consolidation. Key highlights include income tax relief, widened service tax net, and plans for Direct Taxes Code and Goods and Services Tax. Measures for agriculture, social sector, and infrastructure aim to boost growth. Disinvestment target set at Rs 40,000 crore.",The Finance Minister is clearly betting on the 9 per cent growth projected for next year and the resulting
"Written by Express News ServiceShimla |June 7, 2010 23:34 IST3 min readPRINTShe will turn 19 this November,but Indian Idol-IV finalist Bhavya Pandit is already a star performer and a budding Bollywood singer.Having already proved her talent in the television show,a confident Bhavya made her entry into the playback singing arena last year with a duet,along with Shaan,for the film,Whats Your Rashee. She also lent her voice in a Bhojpuri film,along with Udit Narain. Two of her other releases are expected to hit the market soon.Performing first time at theShimlaInternational Summer Festival on Saturday,Bhavya took the audience by storm and held the stage till midnight.Story continues below this adMy dream has come true, she declared from the stage,recollecting her childhood memories of being in the audience in the same festival. Here,I watched the performances of my favourite signers Udit Narain,Shaan,Hema Sardesai,Sundhi Chauhan,Shreya Ghoshal,Pankaj Udhas and Jagjit Singh. I used to stand in queues for their autographs, she recalled.After Indian Idol,Bhavya has done over 150 shows,both in India and abroad. This has given me a lot of confidence to pursue my singing career,besides studies,inMumbaiwhere my parents work, she said.Originally from PunjabsJalandhar,Bhavya was born at Hisar in Haryana and had started singing at the age of four. She claims that her talent was first recognised by Ustad Bismillah Khan. He told my parents to take me to a place where I can be groomed. Following his advice,my parents shifted first toPuneand then to Mumbai, she said.Bhavya learnt classical music from Pandit Prabhakar Karekar. At the age of 14,she won the National Balshree Award,which was conferred on her by the then President Dr A P J Abdul Kalam at the Rashtrapati Bhavan.Story continues below this adAt the Indian Idol,she was a favourite of the judges. During the elimination round,music director and one of the judges Anu Malik had refused to agree with the audience voting and said: This is not your defeat Bhavya,but a win. I will give you work (break). Within a few months,I got a call from Javed Akhtar,another judge at the show,to record a song, said Bhavya.The very confident Bhavya has a firm head on her shoulders. I enjoy drawing attention of the people,but that does not affect my personality. I have a long way to go and secure a place in Bollywood. My assets are my voice and hardwork, she summed up.Bhavya Pandit performs at the International Shimla Summer Festival. Lalit KumarStay updated with the latest -Click here to follow us on InstagramTags:entertainmentLatest CommentPost CommentRead CommentsExpand","Written by Express News ServiceShimla |June 7, 2010 23:34 IST3 min readPRINTShe will turn 19 this November,but Indian Idol-IV finalist Bhavya Pandit is already a star performer and a budding Bollywood singer.Having already proved her talent in the television show,a confident Bhavya made her entry i...","Bhavya Pandit, who won the Indian Idol-IV, is "
